nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),uncertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),uncertesa experimental (kcal/mol)
1-isopropyl-4-methyl-benzene,mobley_1449384,-0.68,0.03,-0.68,0.60
"2,3-dichlorodibenzo-p-dioxin",mobley_1469079,-3.56,0.02,-3.56,1.00
nonan-2-one,mobley_1502181,-2.49,0.03,-2.49,0.60
4-methylpyridine,mobley_1520842,-4.93,0.02,-4.93,0.60
flurbiprofen,mobley_1527293,-8.42,0.07,-8.42,0.16
butane-1-thiol,mobley_1563176,-0.99,0.02,-0.99,0.60
"2,3-dimethylphenol",mobley_1571523,-6.16,0.03,-6.16,0.60
ethyl hexanoate,mobley_1592519,-2.23,0.04,-2.23,0.60
2-isopropoxypropane,mobley_1615431,-0.53,0.02,-0.53,0.60
methanol,mobley_1636752,-5.10,0.01,-5.10,0.60
2-methylpropan-2-ol,mobley_1650157,-4.47,0.02,-4.47,0.60
morpholine,mobley_1659169,-7.17,0.02,-7.17,0.60
but-1-ene,mobley_1662128,1.38,0.02,1.38,0.60
hex-1-yne,mobley_1674094,0.29,0.02,0.29,0.60
methylsulfonylmethane,mobley_1708457,-10.08,0.03,-10.08,0.60
methyl formate,mobley_1717215,-2.78,0.02,-2.78,0.60
ethyl butanoate,mobley_1722522,-2.49,0.02,-2.49,0.60
octafluorocyclobutane,mobley_1723043,3.43,0.04,3.43,0.03
benzamide,mobley_1728386,-11.00,0.10,-11.00,0.20
dibenzo-p-dioxin,mobley_172879,-3.15,0.02,-3.15,0.10
4-bromophenol,mobley_1733799,-5.85,0.02,-5.85,0.83
hexanoic acid,mobley_1735893,-6.21,0.03,-6.21,0.60
diethyl butanedioate,mobley_1743409,-5.71,0.04,-5.71,0.60
"2,6-dimethylphenol",mobley_1755375,-5.26,0.03,-5.26,0.60
1-chloro-2-methyl-benzene,mobley_1760914,-1.14,0.02,-1.14,0.60
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",mobley_1770205,-10.03,0.04,-10.03,1.37
"methyl 2,2-dimethylpropanoate",mobley_1781152,-2.40,0.02,-2.40,0.60
"1,2-dibromoethane",mobley_1792062,-2.33,0.02,-2.33,0.60
ethanethiol,mobley_1800170,-1.14,0.02,-1.14,0.60
isopentane,mobley_1803862,2.38,0.02,2.38,0.60
3-methyl-1H-indole,mobley_1821184,-5.88,0.03,-5.88,0.60
hexanal,mobley_1827204,-2.81,0.02,-2.81,0.60
"1,1,2-trichloro-1,2,2-trifluoro-ethane",mobley_1838110,1.77,0.02,1.77,0.60
4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,mobley_1849020,-6.50,0.05,-6.50,0.83
"1,2,3,5-tetrachlorobenzene",mobley_1855337,-1.62,0.02,-1.62,0.60
"1,2-dichloroethane",mobley_1857976,-1.79,0.02,-1.79,0.60
2-phenylethanol,mobley_1858644,-6.79,0.03,-6.79,0.60
propanethiol,mobley_186894,-1.10,0.10,-1.10,0.20
toluene,mobley_1873346,-0.90,0.10,-0.90,0.20
pentan-3-one,mobley_1875719,-3.41,0.10,-3.41,0.20
pentan-2-one,mobley_1881249,-3.52,0.02,-3.52,0.60
"1,1,1,2-tetrachloroethane",mobley_1893815,-1.43,0.02,-1.43,0.10
1-chlorohexane,mobley_1893937,0.00,0.03,0.00,0.60
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",mobley_1896013,-20.52,0.10,-20.52,0.27
2-methylpent-1-ene,mobley_1899443,1.47,0.02,1.47,0.60
butan-2-ol,mobley_1903702,-4.62,0.03,-4.62,0.60
benzyl bromide,mobley_1905088,-2.38,0.10,-2.38,0.20
methylparathion,mobley_1922649,-7.19,0.04,-7.19,0.10
n-butane,mobley_1923244,2.10,0.10,2.10,0.20
hydrogen sulfide,mobley_1929982,-0.70,0.01,-0.70,0.60
bromacil,mobley_194273,-9.73,0.04,-9.73,1.93
[2-benzhydryloxyethyl]-dimethyl-amine,mobley_1944394,-9.34,0.03,-9.34,0.62
nitromethane,mobley_1952272,-4.02,0.01,-4.02,0.60
N-methylacetamide,mobley_1963873,-10.00,0.03,-10.00,0.60
acetaldehyde,mobley_1967551,-3.50,0.02,-3.50,0.60
1-cyclopropylethanone,mobley_197466,-4.61,0.02,-4.61,0.60
nonanal,mobley_1976156,-2.07,0.03,-2.07,0.60
1-chloropropane,mobley_1977493,-0.33,0.02,-0.33,0.60
mesitylene,mobley_1987439,-0.90,0.02,-0.90,0.60
biphenyl,mobley_2005792,-2.70,0.10,-2.70,0.20
ethane,mobley_2008055,1.83,0.01,1.83,0.60
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",mobley_2023925,0.10,0.02,0.10,0.60
1-cyclohexylethanone,mobley_2043882,-3.90,0.02,-3.90,0.60
methylsulfanylethane,mobley_2049967,-1.50,0.10,-1.50,0.20
phenol,mobley_20524,-6.60,0.10,-6.60,0.20
propane,mobley_2068538,2.00,0.10,2.00,0.20
ibuprofen,mobley_2078467,-7.00,0.07,-7.00,0.64
ketoprofen,mobley_2099370,-10.78,0.10,-10.78,0.18
2-iodopropane,mobley_210639,-0.46,0.02,-0.46,0.60
4-hydroxybenzonitrile,mobley_2123854,-10.17,0.03,-10.17,0.60
2-ethylphenol,mobley_2126135,-5.66,0.02,-5.66,0.10
3-methylbut-1-ene,mobley_2143011,1.83,0.02,1.83,0.60
formaldehyde,mobley_2146331,-2.75,0.01,-2.75,0.60
1-chloro-pentane,mobley_2178600,-0.10,0.10,-0.10,0.20
sec-butylbenzene,mobley_2183616,-0.45,0.03,-0.45,0.60
decane,mobley_2197088,3.16,0.03,3.16,0.60
chloroethane,mobley_2198613,-0.63,0.02,-0.63,0.60
3-methylpentane,mobley_2213823,2.51,0.02,2.51,0.60
2-methylpropan-1-ol,mobley_2245668,-4.50,0.02,-4.50,0.60
acenaphthene,mobley_2261979,-3.15,0.03,-3.15,0.60
naproxen,mobley_2269032,-10.21,0.10,-10.21,0.18
trimethoxymethane,mobley_2279874,-4.42,0.03,-4.42,0.60
ethyl formate,mobley_2294995,-2.56,0.02,-2.56,0.60
methyl paraben,mobley_2295058,-9.51,0.05,-9.51,0.26
ethanol,mobley_2310185,-5.00,0.03,-5.00,0.60
"1-(2-hydroxyethylamino)-9,10-anthraquinone",mobley_2316618,-14.21,0.03,-14.21,1.10
pentylcyclopentane,mobley_2328633,2.55,0.03,2.55,0.60
methyl pentanoate,mobley_2341732,-2.56,0.02,-2.56,0.60
3-ethylphenol,mobley_2354112,-6.25,0.03,-6.25,0.60
butyl acetate,mobley_2364370,-2.64,0.02,-2.64,0.60
"3,4-dimethylpyridine",mobley_2371092,-5.22,0.02,-5.22,0.60
heptan-4-one,mobley_2390199,-2.92,0.02,-2.92,0.60
diethyl propanedioate,mobley_2402487,-6.00,0.04,-6.00,0.60
ethanamine,mobley_2410897,-4.50,0.02,-4.50,0.60
1-methoxypropane,mobley_2422586,-1.66,0.02,-1.66,0.60
"1,4-diamino-9,10-anthracenedione",mobley_242480,-11.85,0.02,-11.85,0.35
benzonitrile,mobley_2451097,-4.10,0.02,-4.10,0.60
3-methoxyphenol,mobley_2457863,-7.66,0.03,-7.66,0.60
trichloro(nitro)methane,mobley_2481002,-1.45,0.02,-1.45,0.10
benzyl chloride,mobley_2484519,-1.93,0.08,-1.93,0.20
hexan-2-one,mobley_2487143,-3.28,0.02,-3.28,0.60
"1,2-dichlorobenzene",mobley_2489709,-1.36,0.02,-1.36,0.60
"1,1,1,2,2-pentachloroethane",mobley_2492140,-1.23,0.02,-1.23,0.10
"1,1-dichloroethylene",mobley_2493732,0.25,0.02,0.25,0.60
profluralin,mobley_2501588,-2.45,0.04,-2.45,1.37
1-bromoheptane,mobley_2517158,0.34,0.03,0.34,0.60
dialifor,mobley_2518989,-5.74,0.06,-5.74,1.93
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,mobley_2523689,-16.43,0.04,-16.43,1.93
"2,2-dimethylpentane",mobley_252413,2.88,0.02,2.88,0.60
pyrene,mobley_2577969,-4.52,0.03,-4.52,0.60
hexyl acetate,mobley_2607611,-2.26,0.03,-2.26,0.60
"3,3-dimethylpentane",mobley_2609604,2.56,0.03,2.56,0.60
"1,2-dimethoxybenzene",mobley_2613240,-5.33,0.02,-5.33,0.10
3-nitrooxypropyl nitrate,mobley_2636578,-4.80,0.02,-4.80,0.39
"N,N-4-trimethylbenzamide",mobley_2659552,-9.76,0.05,-9.76,0.20
3-hydroxybenzonitrile,mobley_2661134,-9.65,0.03,-9.65,0.60
"1,3,5-trichlorobenzene",mobley_2681549,-0.78,0.02,-0.78,0.60
cyclohexane,mobley_2689721,1.23,0.02,1.23,0.60
2-isobutylpyrazine,mobley_2693089,-5.04,0.03,-5.04,0.60
nitralin,mobley_2725215,-7.98,0.05,-7.98,1.93
1-pyrrolidin-1-ylethanone,mobley_2725802,-9.80,0.02,-9.80,0.60
5-iodouracil,mobley_2727678,-18.72,0.06,-18.72,0.64
4-nitrophenol,mobley_2751110,-10.64,0.02,-10.64,0.60
ethoxybenzene,mobley_2763835,-2.22,0.02,-2.22,0.60
1-methylpiperazine,mobley_2771569,-7.77,0.03,-7.77,0.60
phthalimide,mobley_2782339,-9.61,0.05,-9.61,0.50
cyclopropane,mobley_2784376,0.75,0.02,0.75,0.60
3-chloropyridine,mobley_2789243,-4.01,0.02,-4.01,0.60
(2E)-hex-2-enal,mobley_2792521,-3.68,0.02,-3.68,0.60
1-bromobutane,mobley_2802855,-0.40,0.02,-0.40,0.60
naphthalene,mobley_282648,-2.40,0.02,-2.40,0.60
pyrrole,mobley_2837389,-4.78,0.02,-4.78,0.60
"1,2,3,7-tetrachlorodibenzo-p-dioxin",mobley_2844990,-3.84,0.03,-3.84,1.00
"2,3,7,8-tetrachlorodibenzo-p-dioxin",mobley_2845466,-3.37,0.03,-3.37,1.00
2-hydroxybenzaldehyde,mobley_2850833,-4.68,0.02,-4.68,0.10
styrene,mobley_2859600,-1.24,0.02,-1.24,0.60
pentan-2-ol,mobley_2864987,-4.39,0.02,-4.39,0.60
isobutyl nitrate,mobley_2881590,-1.88,0.03,-1.88,0.10
acetylsalicylic acid,mobley_2913224,-9.94,0.07,-9.94,0.18
4-ethylphenol,mobley_2923700,-6.13,0.03,-6.13,0.60
p-cresol,mobley_2925352,-6.13,0.02,-6.13,0.60
3-methylbutanoic acid,mobley_2929847,-6.09,0.03,-6.09,0.60
N-propylpropan-1-amine,mobley_2958326,-3.65,0.02,-3.65,0.60
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",mobley_2960202,-3.71,0.03,-3.71,1.00
pyridine,mobley_296847,-4.69,0.02,-4.69,0.60
"9,10-dihydroanthracene",mobley_2972345,-3.78,0.02,-3.78,0.10
thiophene,mobley_2972906,-1.40,0.10,-1.40,0.20
2-methylprop-1-ene,mobley_299266,1.16,0.02,1.16,0.60
chloroform,mobley_2996632,-1.08,0.02,-1.08,0.60
"2,2,2-trifluoroethanol",mobley_3006808,-4.31,0.03,-4.31,0.60
prop-1-ene,mobley_303222,1.32,0.02,1.32,0.60
acetic acid,mobley_3034976,-6.69,0.02,-6.69,0.60
1-ethyl-2-methylbenzene,mobley_3040612,-0.85,0.02,-0.85,0.10
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",mobley_3047364,-7.65,0.04,-7.65,0.45
benzene,mobley_3053621,-0.90,0.10,-0.90,0.20
"2,2,5-trimethylhexane",mobley_3060426,2.93,0.03,2.93,0.60
dimethoxymethane,mobley_3083321,-2.93,0.10,-2.93,0.20
terbacil,mobley_3105103,-11.14,0.04,-11.14,1.93
propan-1-ol,mobley_313406,-4.85,0.02,-4.85,0.60
"2,5-dimethylphenol",mobley_3144334,-5.91,0.03,-5.91,0.60
decan-1-ol,mobley_3151666,-3.64,0.03,-3.64,0.60
octane,mobley_3167746,2.88,0.03,2.88,0.60
2-chloroaniline,mobley_3169935,-4.91,0.03,-4.91,0.60
"1,2,4-trimethylbenzene",mobley_3183805,-0.86,0.02,-0.86,0.60
2-methylaniline,mobley_3187514,-5.53,0.03,-5.53,0.60
pirimor,mobley_3201701,-9.41,0.04,-9.41,1.93
"1,2-dinitroxypropane",mobley_3210206,-4.95,0.03,-4.95,0.10
cyclohexene,mobley_3211679,0.14,0.02,0.14,0.10
p-xylene,mobley_3234716,-0.80,0.02,-0.80,0.60
glycerol,mobley_3259411,-13.43,0.06,-13.43,1.00
naphthalen-2-amine,mobley_3264884,-7.47,0.03,-7.47,0.60
2-chlorosyringaldehyde,mobley_3265457,-7.78,0.03,-7.78,0.77
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",mobley_3266352,-1.92,0.03,-1.92,0.60
2-methoxypropane,mobley_3269565,-2.01,0.02,-2.01,0.60
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",mobley_3269819,-3.17,0.04,-3.17,0.10
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",mobley_3274817,-6.23,0.04,-6.23,1.93
nonan-5-one,mobley_3318135,-2.64,0.03,-2.64,0.60
sulfolane,mobley_3323117,-8.61,0.05,-8.61,0.31
trimethoxymethylbenzene,mobley_3325209,-4.04,0.04,-4.04,0.60
4-propylguaiacol,mobley_3359593,-5.26,0.02,-5.26,0.18
"1,1-difluoroethane",mobley_3370989,-0.11,0.02,-0.11,0.60
5-fluorouracil,mobley_337666,-16.92,0.06,-16.92,0.88
nonan-1-ol,mobley_3378420,-3.88,0.03,-3.88,0.60
tetrahydropyran,mobley_3395921,-3.12,0.02,-3.12,0.60
iodobenzene,mobley_3398536,-1.74,0.02,-1.74,0.60
2-methylpentan-2-ol,mobley_3414356,-3.92,0.02,-3.92,0.60
chloro-fluoro-methane,mobley_3425174,-0.77,0.01,-0.77,0.60
"1,2,3-trimethylbenzene",mobley_3452749,-1.21,0.02,-1.21,0.60
1-(p-tolyl)ethanone,mobley_349850,-4.70,0.03,-4.70,0.60
2-methoxyphenol,mobley_3515580,-5.94,0.02,-5.94,0.10
2-acetoxyethyl acetate,mobley_352111,-6.34,0.04,-6.34,0.60
pentylbenzene,mobley_3525176,-0.23,0.03,-0.23,0.60
hexan-1-ol,mobley_3546460,-4.40,0.02,-4.40,0.60
pentyl propanoate,mobley_3572203,-2.11,0.03,-2.11,0.60
heptan-2-one,mobley_3573480,-3.04,0.02,-3.04,0.60
"2-chloro-1,1,1-trimethoxy-ethane",mobley_3589456,-4.59,0.04,-4.59,0.60
octan-1-ol,mobley_36119,-4.09,0.03,-4.09,0.60
1-chlorobutane,mobley_3639400,-0.16,0.02,-0.16,0.60
naphthalen-2-ol,mobley_3663158,-8.11,0.03,-8.11,0.60
cyclohexanone,mobley_3682850,-4.91,0.02,-4.91,0.60
"1,1-diethoxyethane",mobley_3686115,-3.28,0.08,-3.28,0.20
propyl butanoate,mobley_3690931,-2.28,0.03,-2.28,0.60
non-1-ene,mobley_3709920,2.06,0.03,2.06,0.60
"1,4-dimethylnaphthalene",mobley_3715043,-2.82,0.03,-2.82,0.60
quinone,mobley_3727287,-6.50,0.10,-6.50,0.20
1-bromo-pentane,mobley_3738859,-0.10,0.10,-0.10,0.20
isopropenylbenzene,mobley_3746675,-1.24,0.02,-1.24,0.60
"1,1,1-trichloroethane",mobley_3761215,-0.19,0.02,-0.19,0.60
dichloromethane,mobley_3762186,-1.31,0.01,-1.31,0.60
1-methylpyrrole,mobley_3775790,-2.89,0.02,-2.89,0.60
3-nitroaniline,mobley_3777264,-8.84,0.03,-8.84,0.60
hexyl nitrate,mobley_3802803,-1.66,0.02,-1.66,0.10
naphthalen-1-amine,mobley_3843583,-7.28,0.03,-7.28,0.60
acetone,mobley_3867265,-3.80,0.02,-3.80,0.60
cyclopentanone,mobley_3968043,-4.70,0.02,-4.70,0.60
methyl benzoate,mobley_3968739,-3.92,0.03,-3.92,0.60
benzaldehyde,mobley_3969312,-4.02,0.02,-4.02,0.60
ethyl benzoate,mobley_397645,-3.64,0.02,-3.64,0.60
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",mobley_3976574,-4.15,0.03,-4.15,1.00
"1,2,3-trichlorobenzene",mobley_3980099,-1.24,0.02,-1.24,0.60
methyl acetate,mobley_3982371,-3.13,0.02,-3.13,0.60
"1,1-dichloroethane",mobley_3999471,-0.84,0.02,-0.84,0.60
"2,4-dimethylpentan-3-one",mobley_4013838,-2.74,0.02,-2.74,0.60
o-cresol,mobley_4035953,-5.90,0.10,-5.90,0.20
5-bromouracil,mobley_4039055,-18.17,0.06,-18.17,0.55
pent-1-ene,mobley_4043951,1.68,0.02,1.68,0.60
2-methylhexane,mobley_4043987,2.93,0.03,2.93,0.60
"1,4-dimethylpiperazine",mobley_4059279,-7.58,0.03,-7.58,0.60
"2,7-dichlorodibenzo-p-dioxin",mobley_4149784,-3.67,0.02,-3.67,0.12
"2,3,4-trimethylpentane",mobley_4177472,2.56,0.03,2.56,0.60
"N,N-dimethylbenzamide",mobley_4188615,-9.29,0.04,-9.29,0.60
nitrobenzene,mobley_4193752,-4.12,0.02,-4.12,0.60
4-methoxyaniline,mobley_4218209,-7.48,0.03,-7.48,0.60
"1,2,3,4-tetrachlorobenzene",mobley_4219614,-1.34,0.02,-1.34,0.60
isobutylbenzene,mobley_4252724,0.16,0.02,0.16,0.60
2-methylpyridine,mobley_4287564,-4.63,0.02,-4.63,0.60
2-chloropyridine,mobley_4291494,-4.39,0.02,-4.39,0.60
pent-1-yne,mobley_430089,0.01,0.02,0.01,0.60
propanenitrile,mobley_4305650,-3.84,0.02,-3.84,0.60
6-chlorouracil,mobley_4338603,-15.83,0.06,-15.83,1.22
iodomethane,mobley_4364398,-0.89,0.01,-0.89,0.60
"1-amino-4-hydroxy-9,10-anthracenedione",mobley_4371692,-9.53,0.02,-9.53,0.28
nonane,mobley_4375719,3.13,0.03,3.13,0.60
4-chloro-3-methyl-phenol,mobley_4395315,-6.79,0.03,-6.79,0.60
chloromethane,mobley_4434915,-0.55,0.01,-0.55,0.60
1-acetoxyethyl acetate,mobley_4463913,-4.97,0.10,-4.97,0.60
"(Z)-1,2-dichloroethylene",mobley_4465023,-1.17,0.02,-1.17,0.60
"1,1-diphenylethene",mobley_4479135,-2.78,0.02,-2.78,0.10
fluorobenzene,mobley_4483973,-0.80,0.02,-0.80,0.60
1-bromo-4-methyl-benzene,mobley_4494568,-1.39,0.02,-1.39,0.60
"2-bromo-2-chloro-1,1,1-trifluoro-ethane",mobley_4506634,-0.11,0.02,-0.11,0.60
"1,4-dichlorobenzene",mobley_4553008,-1.01,0.02,-1.01,0.60
"2,3-dimethylbutane",mobley_4561957,2.34,0.02,2.34,0.60
"2,6-dimethylpyridine",mobley_4584540,-4.59,0.02,-4.59,0.60
"(2R,3R,4R,5R)-Hexan-1,2,3,4,5,6-hexol",mobley_4587267,-23.62,0.04,-23.62,0.32
1-chloro-2-(2-chloroethoxy)ethane,mobley_4603202,-4.23,0.01,-4.23,0.20
ethyl paraben,mobley_4609460,-9.20,0.06,-9.20,0.30
1-benzylimidazole,mobley_4613090,-7.63,0.02,-7.63,0.12
methyl cyclopropanecarboxylate,mobley_4620651,-4.10,0.04,-4.10,0.60
"1,2-dimethoxyethane",mobley_4630641,-4.84,0.02,-4.84,0.60
ethylene glycol,mobley_4639255,-9.30,0.03,-9.30,0.60
m-bis(trifluoromethyl)benzene,mobley_4678740,1.07,0.04,1.07,0.20
4-propylphenol,mobley_4683624,-5.21,0.02,-5.21,0.69
2-propoxyethanol,mobley_4687447,-6.40,0.03,-6.40,0.60
heptachlor,mobley_468867,-2.55,0.03,-2.55,0.10
2-acetoxyethyl acetate,mobley_4689084,-6.34,0.06,-6.34,0.20
"1,2-diethoxyethane",mobley_4690963,-3.54,0.03,-3.54,0.60
octanal,mobley_4694328,-2.29,0.03,-2.29,0.60
"1,2-dichloropropane",mobley_4699732,-1.27,0.02,-1.27,0.60
"1,2-dimethylcyclohexane",mobley_4715906,1.58,0.02,1.58,0.60
1-iodoheptane,mobley_4759887,0.27,0.03,0.27,0.60
hept-1-ene,mobley_4762983,1.66,0.02,1.66,0.60
"2,4-dimethylphenol",mobley_4780078,-6.01,0.03,-6.01,0.60
pentanoic acid,mobley_4792268,-6.16,0.06,-6.16,0.60
hexachlorobenzene,mobley_4845722,-2.33,0.04,-2.33,1.16
methanesulfonyl chloride,mobley_4850657,-4.87,0.02,-4.87,0.60
"2,6-dimethoxyphenol",mobley_486214,-6.96,0.02,-6.96,0.10
aniline,mobley_4883284,-5.49,0.02,-5.49,0.60
3-ethylpyridine,mobley_4884177,-4.59,0.02,-4.59,0.60
pentanenitrile,mobley_4893032,-3.52,0.02,-3.52,0.60
isopentyl formate,mobley_4924862,-2.13,0.02,-2.13,0.60
hept-1-yne,mobley_49274,0.60,0.02,0.60,0.60
diethoxymethoxybenzene,mobley_4934872,-5.23,0.04,-5.23,0.60
"2-(2,3-dimethylphenyl)aminobenzoic acid",mobley_4936555,-6.78,0.03,-6.78,0.10
nitroxyacetone,mobley_4964807,-5.99,0.02,-5.99,0.10
ethylsulfanylethane,mobley_4983965,-1.46,0.02,-1.46,0.60
"2-amino-9,10-anthraquinone",mobley_5003962,-11.53,0.03,-11.53,0.29
4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,mobley_5006685,-4.09,0.02,-4.09,0.17
pyridine-4-carbonitrile,mobley_5026370,-6.02,0.02,-6.02,0.60
1-propylsulfanylpropane,mobley_5052949,-1.28,0.02,-1.28,0.60
2-methyltetrahydrofuran,mobley_5056289,-3.30,0.02,-3.30,0.60
2-nitrophenol,mobley_5063386,-4.58,0.03,-4.58,0.60
2-methoxyaniline,mobley_5072416,-6.12,0.03,-6.12,0.60
"1-N,1-N-diethyl-2,6-dinitro-4-(trifluoromethyl)benzene-1,3-diamine",mobley_5076071,-5.66,0.04,-5.66,1.93
heptan-1-ol,mobley_5079234,-4.21,0.02,-4.21,0.60
indane,mobley_5094777,-1.46,0.02,-1.46,0.60
"2,6-dimethylnaphthalene",mobley_5110043,-2.63,0.03,-2.63,0.60
butadiene,mobley_511661,0.56,0.10,0.56,0.20
4-methylpentan-2-ol,mobley_5123639,-3.73,0.02,-3.73,0.60
isobutane,mobley_5157661,2.30,0.10,2.30,0.20
aldicarb,mobley_5200358,-9.84,0.05,-9.84,0.10
2-ethylpyrazine,mobley_5220185,-5.45,0.03,-5.45,0.60
methanethiol,mobley_525934,-1.20,0.10,-1.20,0.20
1-ethylnaphthalene,mobley_5263791,-2.40,0.03,-2.40,0.60
"1,2-dinitroxyethane",mobley_52782,-5.73,0.02,-5.73,0.10
Amitriptyline,mobley_5282042,-7.43,0.03,-7.43,0.60
"1,4-dichlorobutane",mobley_5286200,-2.32,0.02,-2.32,0.60
hex-1-ene,mobley_5310099,1.58,0.02,1.58,0.60
phenylmethanol,mobley_5311804,-6.62,0.03,-6.62,0.60
"N,N-dimethylaniline",mobley_5326154,-3.45,0.02,-3.45,0.60
"3,3-dimethylbutan-2-one",mobley_5346580,-3.11,0.02,-3.11,0.60
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",mobley_5347550,-1.12,0.02,-1.12,0.60
2-chlorodibenzo-p-dioxin,mobley_5371840,-3.10,0.02,-3.10,0.10
methyl butanoate,mobley_5390332,-2.83,0.02,-2.83,0.60
diazinon,mobley_5393242,-6.48,0.05,-6.48,0.13
cumene,mobley_5445548,-0.30,0.02,-0.30,0.60
n-pentane,mobley_5449201,2.30,0.10,2.30,0.20
"1,2,3,4,5-pentachloro-6-(2,3,4,5,6-pentachlorophenyl)benzene",mobley_5456566,-2.98,0.06,-2.98,1.00
4-tert-butylphenol,mobley_5467162,-5.91,0.04,-5.91,0.60
isopentyl acetate,mobley_5471704,-2.21,0.03,-2.21,0.60
"2,3-dimethylnaphthalene",mobley_547634,-2.78,0.02,-2.78,0.60
"1,1,2,3,3,3-hexafluoroprop-1-ene",mobley_5494918,2.93,0.02,2.93,0.60
1-methylimidazole,mobley_5499659,-8.41,0.03,-8.41,0.60
"1,1,1-trimethoxyethane",mobley_550662,-4.42,0.02,-4.42,0.60
"1,2,3,4-tetrachlorodibenzo-p-dioxin",mobley_5510474,-3.81,0.03,-3.81,0.14
4-methylaniline,mobley_5518547,-5.57,0.03,-5.57,0.60
benzenethiol,mobley_5520946,-2.55,0.02,-2.55,0.60
"1,3,5-trichloro-2-phenyl-benzene",mobley_5538249,-2.16,0.03,-2.16,0.10
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",mobley_5561855,-1.96,0.04,-1.96,0.10
"2,6-dimethylaniline",mobley_5571660,-5.21,0.03,-5.21,0.60
"4-methoxy-N,N-dimethyl-benzamide",mobley_5600967,-11.01,0.04,-11.01,0.60
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",mobley_5616693,-2.53,0.02,-2.53,0.25
2-methylpropanal,mobley_5627459,-2.86,0.02,-2.86,0.60
ammonia,mobley_5631798,-4.29,0.01,-4.29,0.60
"1,3-dimethylnaphthalene",mobley_5665561,-2.47,0.03,-2.47,0.60
"hexa-1,5-diene",mobley_5690766,1.01,0.02,1.01,0.60
N-methylmethanamine,mobley_5692472,-4.29,0.02,-4.29,0.60
dicamba,mobley_5708811,-9.86,0.04,-9.86,1.93
4-methyl-1H-imidazole,mobley_5732611,-10.27,0.03,-10.27,0.60
