nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol)
cycloheptanol,mobley_1244778,-5.48,0.05,-5.48,0.60,-6.421224246400239,0.40514788019486814
neopentane,mobley_1261349,2.51,0.02,2.51,0.60,6.9808439801488005,0.2802136936120314
hexachloroethane,mobley_1278715,-0.64,0.04,-0.64,0.10,-0.3573661002551256,0.30122390830621043
1-butoxybutane,mobley_129464,-0.83,0.03,-0.83,0.60,-1.881529165200569,0.3890559660518352
triethylphosphate,mobley_1323538,-7.50,0.10,-7.50,0.20,-50.85864139571249,5.77656352013369
"1,1,2-trichloroethane",mobley_1328465,-1.99,0.03,-1.99,0.60,-0.8574657587569814,0.30720414616593533
methyl 4-nitrobenzoate,mobley_1328936,-6.88,0.03,-6.88,0.60,-52.25235768567962,0.6866353872638868
pebulate,mobley_1352110,-3.64,0.04,-3.64,1.93,-39.498453517555745,0.6545698680337191
"3,5-dimethylpyridine",mobley_1363784,-4.84,0.02,-4.84,0.60,-17.988442649541614,0.3230874661055555
pentachloronitrobenzene,mobley_1396156,-5.22,0.05,-5.22,0.25,-8.495629809767125,0.39763110675010316
captan,mobley_1417007,-9.01,0.04,-9.01,1.93,-18.924099516245523,0.5106983006635082
m-xylene,mobley_1424265,-0.83,0.02,-0.83,0.60,0.9319642468423512,0.34993880623699036
1-isopropyl-4-methyl-benzene,mobley_1449384,-0.68,0.03,-0.68,0.60,-5.767919610066317,0.3304324789360712
"2,3-dichlorodibenzo-p-dioxin",mobley_1469079,-3.56,0.02,-3.56,1.00,-12.936561523110107,0.5359613755072897
nonan-2-one,mobley_1502181,-2.49,0.03,-2.49,0.60,-6.016786220595495,0.4005878895512568
4-methylpyridine,mobley_1520842,-4.93,0.02,-4.93,0.60,6.6726102948146,0.3991555705624516
flurbiprofen,mobley_1527293,-8.42,0.07,-8.42,0.16,NA,NA
butane-1-thiol,mobley_1563176,-0.99,0.02,-0.99,0.60,-3.857724743400773,0.28246729848315505
"2,3-dimethylphenol",mobley_1571523,-6.16,0.03,-6.16,0.60,-12.783449508768427,0.45505157762182863
ethyl hexanoate,mobley_1592519,-2.23,0.04,-2.23,0.60,-7.501161891088555,0.48035233858183657
2-isopropoxypropane,mobley_1615431,-0.53,0.02,-0.53,0.60,2.5420819431362176,0.3465860481745915
methanol,mobley_1636752,-5.10,0.01,-5.10,0.60,-3.416800938833231,0.295253639598772
2-methylpropan-2-ol,mobley_1650157,-4.47,0.02,-4.47,0.60,15.851113316227288,0.35705529902297145
morpholine,mobley_1659169,-7.17,0.02,-7.17,0.60,-8.42938786774465,0.47278929048808527
but-1-ene,mobley_1662128,1.38,0.02,1.38,0.60,2.5835394691116242,0.26718751831025567
hex-1-yne,mobley_1674094,0.29,0.02,0.29,0.60,-1.0058015727020941,0.31791576975328567
methylsulfonylmethane,mobley_1708457,-10.08,0.03,-10.08,0.60,2.674056563182874,0.4769437885221994
methyl formate,mobley_1717215,-2.78,0.02,-2.78,0.60,-12.121567931610583,0.30574041574047134
ethyl butanoate,mobley_1722522,-2.49,0.02,-2.49,0.60,-19.649367781462587,0.3908958020011166
octafluorocyclobutane,mobley_1723043,3.43,0.04,3.43,0.03,-6.8505269319649535,0.3412333177987833
benzamide,mobley_1728386,-11.00,0.10,-11.00,0.20,-36.26702663834436,0.5619591260935697
dibenzo-p-dioxin,mobley_172879,-3.15,0.02,-3.15,0.10,-18.149034167739963,0.4371925545477758
4-bromophenol,mobley_1733799,-5.85,0.02,-5.85,0.83,-0.8789001640944849,0.5124264025587973
hexanoic acid,mobley_1735893,-6.21,0.03,-6.21,0.60,-9.766220504188114,0.4199264288631676
diethyl butanedioate,mobley_1743409,-5.71,0.04,-5.71,0.60,-30.31068288521142,0.64171608364704
"2,6-dimethylphenol",mobley_1755375,-5.26,0.03,-5.26,0.60,NA,NA
1-chloro-2-methyl-benzene,mobley_1760914,-1.14,0.02,-1.14,0.60,-5.858616415686869,0.29275440856066653
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",mobley_1770205,-10.03,0.04,-10.03,1.37,NA,NA
"methyl 2,2-dimethylpropanoate",mobley_1781152,-2.40,0.02,-2.40,0.60,-38.1002380523619,0.473171579260758
"1,2-dibromoethane",mobley_1792062,-2.33,0.02,-2.33,0.60,0.5203539307493741,0.2887847605086438
ethanethiol,mobley_1800170,-1.14,0.02,-1.14,0.60,1.2483877190858024,0.23027996802216946
isopentane,mobley_1803862,2.38,0.02,2.38,0.60,3.0366045422948122,0.30190411444342624
3-methyl-1H-indole,mobley_1821184,-5.88,0.03,-5.88,0.60,-14.956466061477286,0.4199359927002955
hexanal,mobley_1827204,-2.81,0.02,-2.81,0.60,NA,NA
"1,1,2-trichloro-1,2,2-trifluoro-ethane",mobley_1838110,1.77,0.02,1.77,0.60,2.2092078718400847,0.32119034386866263
4-chlorophenyl)sulfanylmethylsulfanyl-diethoxy-thioxo-$l^{5}-phosphane,mobley_1849020,-6.50,0.05,-6.50,0.83,-74.32101082703493,4.078244357882232
"1,2,3,5-tetrachlorobenzene",mobley_1855337,-1.62,0.02,-1.62,0.60,0.9351677814869994,0.3415629566453629
"1,2-dichloroethane",mobley_1857976,-1.79,0.02,-1.79,0.60,-1.3123093810236095,0.2638014617533591
2-phenylethanol,mobley_1858644,-6.79,0.03,-6.79,0.60,-5.651301439176013,0.529387000735415
propanethiol,mobley_186894,-1.10,0.10,-1.10,0.20,1.0545524205059396,0.3056748181418695
toluene,mobley_1873346,-0.90,0.10,-0.90,0.20,-2.058000465847716,0.27744666636087423
pentan-3-one,mobley_1875719,-3.41,0.10,-3.41,0.20,-16.746785399887656,0.36917862437029303
pentan-2-one,mobley_1881249,-3.52,0.02,-3.52,0.60,-7.139152963611139,0.3881518995849126
"1,1,1,2-tetrachloroethane",mobley_1893815,-1.43,0.02,-1.43,0.10,2.5325591416490223,0.3515547624895727
1-chlorohexane,mobley_1893937,0.00,0.03,0.00,0.60,-1.1733619061759182,0.343210407835879
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",mobley_1896013,-20.52,0.10,-20.52,0.27,-24.77636186119676,1.437892623165617
2-methylpent-1-ene,mobley_1899443,1.47,0.02,1.47,0.60,3.7403102117113587,0.2798389443287574
butan-2-ol,mobley_1903702,-4.62,0.03,-4.62,0.60,1.372868262429749,0.3380376136871739
benzyl bromide,mobley_1905088,-2.38,0.10,-2.38,0.20,NA,NA
methylparathion,mobley_1922649,-7.19,0.04,-7.19,0.10,-66.98353848966636,0.825658147819201
n-butane,mobley_1923244,2.10,0.10,2.10,0.20,1.9269226912676896,0.2506050313070487
hydrogen sulfide,mobley_1929982,-0.70,0.01,-0.70,0.60,-1.2707545054668354,0.22564496591166616
bromacil,mobley_194273,-9.73,0.04,-9.73,1.93,NA,NA
[2-benzhydryloxyethyl]-dimethyl-amine,mobley_1944394,-9.34,0.03,-9.34,0.62,-32.58869964904351,0.7647038762021526
nitromethane,mobley_1952272,-4.02,0.01,-4.02,0.60,-0.33211495812471725,0.25251992471344864
N-methylacetamide,mobley_1963873,-10.00,0.03,-10.00,0.60,-9.012600631937778,0.3326639999140175
acetaldehyde,mobley_1967551,-3.50,0.02,-3.50,0.60,-3.019760472295194,0.31348716425632733
1-cyclopropylethanone,mobley_197466,-4.61,0.02,-4.61,0.60,-20.756411977823753,0.3317253799203884
nonanal,mobley_1976156,-2.07,0.03,-2.07,0.60,-6.457568439094436,0.4665915977800123
1-chloropropane,mobley_1977493,-0.33,0.02,-0.33,0.60,1.2437147505735842,0.3280475050952452
mesitylene,mobley_1987439,-0.90,0.02,-0.90,0.60,4.001174671515404,0.3096869108879499
biphenyl,mobley_2005792,-2.70,0.10,-2.70,0.20,-14.415777234337847,0.5111371092508341
ethane,mobley_2008055,1.83,0.01,1.83,0.60,1.9610925423872565,0.2186311103956707
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",mobley_2023925,0.10,0.02,0.10,0.60,-7.4164261186611,0.4084036420537748
1-cyclohexylethanone,mobley_2043882,-3.90,0.02,-3.90,0.60,-37.58881793899451,5.298673406208678
methylsulfanylethane,mobley_2049967,-1.50,0.10,-1.50,0.20,1.9548870190718879,0.24833086427200096
phenol,mobley_20524,-6.60,0.10,-6.60,0.20,-2.1805242759588563,0.3926593942074666
propane,mobley_2068538,2.00,0.10,2.00,0.20,2.069566075226286,0.28236256115633923
ibuprofen,mobley_2078467,-7.00,0.07,-7.00,0.64,-28.74283119065135,1.0742396634933753
ketoprofen,mobley_2099370,-10.78,0.10,-10.78,0.18,-59.34897851277876,0.7233555476531588
2-iodopropane,mobley_210639,-0.46,0.02,-0.46,0.60,1.523758241257673,0.31087946040827286
4-hydroxybenzonitrile,mobley_2123854,-10.17,0.03,-10.17,0.60,-7.791880809362661,0.4557345977747024
2-ethylphenol,mobley_2126135,-5.66,0.02,-5.66,0.10,-16.87962152059004,0.459977225460998
3-methylbut-1-ene,mobley_2143011,1.83,0.02,1.83,0.60,3.2692177489130767,0.27743809281739024
formaldehyde,mobley_2146331,-2.75,0.01,-2.75,0.60,-2.1777676210981274,0.2529958349894078
1-chloro-pentane,mobley_2178600,-0.10,0.10,-0.10,0.20,1.7513723542873585,0.2890417937398934
sec-butylbenzene,mobley_2183616,-0.45,0.03,-0.45,0.60,-9.919055435847513,0.41067981510939006
decane,mobley_2197088,3.16,0.03,3.16,0.60,-0.701702141129473,0.31551442389278167
chloroethane,mobley_2198613,-0.63,0.02,-0.63,0.60,0.24679380540855278,0.2559548354238399
3-methylpentane,mobley_2213823,2.51,0.02,2.51,0.60,1.1301172430884563,0.27621092333187974
2-methylpropan-1-ol,mobley_2245668,-4.50,0.02,-4.50,0.60,-4.6346430380333565,0.37882728180578273
acenaphthene,mobley_2261979,-3.15,0.03,-3.15,0.60,-16.701550506609813,0.44420516283092715
naproxen,mobley_2269032,-10.21,0.10,-10.21,0.18,-30.9854742696091,1.0272643464355702
trimethoxymethane,mobley_2279874,-4.42,0.03,-4.42,0.60,-24.6866990924112,0.3488113357032074
ethyl formate,mobley_2294995,-2.56,0.02,-2.56,0.60,-8.741313912448062,0.3271448839268079
methyl paraben,mobley_2295058,-9.51,0.05,-9.51,0.26,-32.792784208506745,1.530477160102639
ethanol,mobley_2310185,-5.00,0.03,-5.00,0.60,2.7602603706493603,0.36223755313702777
"1-(2-hydroxyethylamino)-9,10-anthraquinone",mobley_2316618,-14.21,0.03,-14.21,1.10,NA,NA
pentylcyclopentane,mobley_2328633,2.55,0.03,2.55,0.60,-0.39055662035089433,0.2963844201916874
methyl pentanoate,mobley_2341732,-2.56,0.02,-2.56,0.60,-17.68271417959857,0.436493474519315
3-ethylphenol,mobley_2354112,-6.25,0.03,-6.25,0.60,-1.4135302857138452,0.4106679285159424
butyl acetate,mobley_2364370,-2.64,0.02,-2.64,0.60,-9.06502544958876,0.38811495524719813
"3,4-dimethylpyridine",mobley_2371092,-5.22,0.02,-5.22,0.60,-0.56055927161366,0.3869089880364179
heptan-4-one,mobley_2390199,-2.92,0.02,-2.92,0.60,-10.388908037301908,0.4299409471373068
diethyl propanedioate,mobley_2402487,-6.00,0.04,-6.00,0.60,-26.465353253818748,6.548613552205061
ethanamine,mobley_2410897,-4.50,0.02,-4.50,0.60,4.18586367542019,0.28924891337830033
1-methoxypropane,mobley_2422586,-1.66,0.02,-1.66,0.60,-3.455429435306647,0.323508382930669
"1,4-diamino-9,10-anthracenedione",mobley_242480,-11.85,0.02,-11.85,0.35,-8.213185177169038,0.6822969700149937
benzonitrile,mobley_2451097,-4.10,0.02,-4.10,0.60,-8.822022990662635,0.39474504500361934
3-methoxyphenol,mobley_2457863,-7.66,0.03,-7.66,0.60,2.7887982414327226,0.38106841548744524
trichloro(nitro)methane,mobley_2481002,-1.45,0.02,-1.45,0.10,-2.0840021707164977,0.29280420799192663
benzyl chloride,mobley_2484519,-1.93,0.08,-1.93,0.20,-3.8617241372907887,0.34077549471763613
hexan-2-one,mobley_2487143,-3.28,0.02,-3.28,0.60,-8.843957505256078,0.3216210058753173
"1,2-dichlorobenzene",mobley_2489709,-1.36,0.02,-1.36,0.60,-3.5295197599400585,0.2712418340932499
"1,1,1,2,2-pentachloroethane",mobley_2492140,-1.23,0.02,-1.23,0.10,1.1500867451223074,0.3006557396486978
"1,1-dichloroethylene",mobley_2493732,0.25,0.02,0.25,0.60,1.004166823919591,0.23044770739612316
profluralin,mobley_2501588,-2.45,0.04,-2.45,1.37,NA,NA
1-bromoheptane,mobley_2517158,0.34,0.03,0.34,0.60,-0.903711637381183,0.3321005146661025
dialifor,mobley_2518989,-5.74,0.06,-5.74,1.93,-145.41472830078587,0.7969900975755331
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,mobley_2523689,-16.43,0.04,-16.43,1.93,NA,NA
"2,2-dimethylpentane",mobley_252413,2.88,0.02,2.88,0.60,0.7530903218330245,0.28145751256245766
pyrene,mobley_2577969,-4.52,0.03,-4.52,0.60,-27.860444165463107,0.6019819902279886
hexyl acetate,mobley_2607611,-2.26,0.03,-2.26,0.60,-7.537060292216388,0.39697622798692184
"3,3-dimethylpentane",mobley_2609604,2.56,0.03,2.56,0.60,-1.3691292023788257,0.2888038583818614
"1,2-dimethoxybenzene",mobley_2613240,-5.33,0.02,-5.33,0.10,-15.306780470177,0.4200229835789311
3-nitrooxypropyl nitrate,mobley_2636578,-4.80,0.02,-4.80,0.39,-20.22627938005663,0.3725320902776868
"N,N-4-trimethylbenzamide",mobley_2659552,-9.76,0.05,-9.76,0.20,-44.5677627148234,0.4629166021031664
3-hydroxybenzonitrile,mobley_2661134,-9.65,0.03,-9.65,0.60,-3.492211697040026,0.501965606540122
"1,3,5-trichlorobenzene",mobley_2681549,-0.78,0.02,-0.78,0.60,3.5927228193212866,0.29023494857269594
cyclohexane,mobley_2689721,1.23,0.02,1.23,0.60,-0.6211387430515898,0.24372950682720534
2-isobutylpyrazine,mobley_2693089,-5.04,0.03,-5.04,0.60,-6.811277222068643,0.4197091472275946
nitralin,mobley_2725215,-7.98,0.05,-7.98,1.93,NA,NA
1-pyrrolidin-1-ylethanone,mobley_2725802,-9.80,0.02,-9.80,0.60,-13.853889527335458,0.3385435659533211
5-iodouracil,mobley_2727678,-18.72,0.06,-18.72,0.64,5.786098949649251,0.8141672667517692
4-nitrophenol,mobley_2751110,-10.64,0.02,-10.64,0.60,-13.351649892632423,0.6173195413849142
ethoxybenzene,mobley_2763835,-2.22,0.02,-2.22,0.60,-4.26601337778322,0.3570863749773325
1-methylpiperazine,mobley_2771569,-7.77,0.03,-7.77,0.60,-18.046988564006526,0.45402320913986705
phthalimide,mobley_2782339,-9.61,0.05,-9.61,0.50,-29.709932705251624,0.5840225550927789
cyclopropane,mobley_2784376,0.75,0.02,0.75,0.60,1.3330372698878608,0.19543932575197837
3-chloropyridine,mobley_2789243,-4.01,0.02,-4.01,0.60,-9.290100052101394,0.31495307442432113
(2E)-hex-2-enal,mobley_2792521,-3.68,0.02,-3.68,0.60,-5.482851361954946,0.3187321877031231
1-bromobutane,mobley_2802855,-0.40,0.02,-0.40,0.60,2.667321817219629,0.3425758385514467
naphthalene,mobley_282648,-2.40,0.02,-2.40,0.60,-12.318057252055848,0.4699773157579032
pyrrole,mobley_2837389,-4.78,0.02,-4.78,0.60,9.138311963915342,0.2959185388488775
"1,2,3,7-tetrachlorodibenzo-p-dioxin",mobley_2844990,-3.84,0.03,-3.84,1.00,-12.256058437634035,0.39608892784918975
"2,3,7,8-tetrachlorodibenzo-p-dioxin",mobley_2845466,-3.37,0.03,-3.37,1.00,-13.53788982161107,0.4126743990682227
2-hydroxybenzaldehyde,mobley_2850833,-4.68,0.02,-4.68,0.10,-3.336064758236418,0.6153194331545281
styrene,mobley_2859600,-1.24,0.02,-1.24,0.60,-7.835582971747471,0.3611238433485126
pentan-2-ol,mobley_2864987,-4.39,0.02,-4.39,0.60,0.045762841860710335,0.39771005617931443
isobutyl nitrate,mobley_2881590,-1.88,0.03,-1.88,0.10,-7.756960395189129,0.2871852169355352
acetylsalicylic acid,mobley_2913224,-9.94,0.07,-9.94,0.18,NA,NA
4-ethylphenol,mobley_2923700,-6.13,0.03,-6.13,0.60,0.019245764916784758,0.5278337338089499
p-cresol,mobley_2925352,-6.13,0.02,-6.13,0.60,1.2298354911848026,0.38530098442332944
3-methylbutanoic acid,mobley_2929847,-6.09,0.03,-6.09,0.60,-7.0412061721622194,0.37556412514146664
N-propylpropan-1-amine,mobley_2958326,-3.65,0.02,-3.65,0.60,-2.74730407454722,0.3817490770087389
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",mobley_2960202,-3.71,0.03,-3.71,1.00,-13.533631345113333,0.4286655573877594
pyridine,mobley_296847,-4.69,0.02,-4.69,0.60,-3.162157017168019,0.33997498772578916
"9,10-dihydroanthracene",mobley_2972345,-3.78,0.02,-3.78,0.10,-15.87304954989704,0.41640765711206523
thiophene,mobley_2972906,-1.40,0.10,-1.40,0.20,4.8583152851056415,0.2928648680251461
2-methylprop-1-ene,mobley_299266,1.16,0.02,1.16,0.60,7.279661076514237,0.25008688211338953
chloroform,mobley_2996632,-1.08,0.02,-1.08,0.60,0.19189971751783652,0.24865871445784343
"2,2,2-trifluoroethanol",mobley_3006808,-4.31,0.03,-4.31,0.60,-25.12530558915224,0.5424112271501204
prop-1-ene,mobley_303222,1.32,0.02,1.32,0.60,2.7367016674800224,0.23156933383222084
acetic acid,mobley_3034976,-6.69,0.02,-6.69,0.60,3.3856786728559314,0.4511887611342151
1-ethyl-2-methylbenzene,mobley_3040612,-0.85,0.02,-0.85,0.10,-7.241033991817693,0.3499162476993385
"2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine",mobley_3047364,-7.65,0.04,-7.65,0.45,NA,NA
benzene,mobley_3053621,-0.90,0.10,-0.90,0.20,-1.0090067751242249,0.28367234673120406
"2,2,5-trimethylhexane",mobley_3060426,2.93,0.03,2.93,0.60,1.7541894466435313,0.36293328183384865
dimethoxymethane,mobley_3083321,-2.93,0.10,-2.93,0.20,-7.971181706795425,0.3697146449675631
terbacil,mobley_3105103,-11.14,0.04,-11.14,1.93,16.812361093563467,0.6451607714046076
propan-1-ol,mobley_313406,-4.85,0.02,-4.85,0.60,-2.2566458489361167,0.3066621450663275
"2,5-dimethylphenol",mobley_3144334,-5.91,0.03,-5.91,0.60,-8.85565306040784,0.44806148183323546
decan-1-ol,mobley_3151666,-3.64,0.03,-3.64,0.60,-2.1663637927590074,0.5179825849204479
octane,mobley_3167746,2.88,0.03,2.88,0.60,1.5263338700097246,0.36193162613283125
2-chloroaniline,mobley_3169935,-4.91,0.03,-4.91,0.60,NA,NA
"1,2,4-trimethylbenzene",mobley_3183805,-0.86,0.02,-0.86,0.60,NA,NA
2-methylaniline,mobley_3187514,-5.53,0.03,-5.53,0.60,-15.381145344700796,0.38851690092688657
pirimor,mobley_3201701,-9.41,0.04,-9.41,1.93,-120.79858776702252,0.672226359042647
"1,2-dinitroxypropane",mobley_3210206,-4.95,0.03,-4.95,0.10,-15.827355748317519,0.42588208105267256
cyclohexene,mobley_3211679,0.14,0.02,0.14,0.10,0.5081883128847209,0.28592226249987657
p-xylene,mobley_3234716,-0.80,0.02,-0.80,0.60,-2.9993498456677874,0.3436928034361959
glycerol,mobley_3259411,-13.43,0.06,-13.43,1.00,-69.69676197976386,0.500131253689696
naphthalen-2-amine,mobley_3264884,-7.47,0.03,-7.47,0.60,2.2300074382727058,0.3955321470667238
2-chlorosyringaldehyde,mobley_3265457,-7.78,0.03,-7.78,0.77,-36.63798099287373,0.5578367579476653
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",mobley_3266352,-1.92,0.03,-1.92,0.60,-6.160225915685103,0.5205622249574064
2-methoxypropane,mobley_3269565,-2.01,0.02,-2.01,0.60,0.6859298141657613,0.3179009378528014
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",mobley_3269819,-3.17,0.04,-3.17,0.10,-10.323632597704709,0.398945988697401
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",mobley_3274817,-6.23,0.04,-6.23,1.93,NA,NA
nonan-5-one,mobley_3318135,-2.64,0.03,-2.64,0.60,-17.32390094888315,0.5133287422649555
sulfolane,mobley_3323117,-8.61,0.05,-8.61,0.31,-23.205969621437827,0.393727146749237
trimethoxymethylbenzene,mobley_3325209,-4.04,0.04,-4.04,0.60,-55.23240462447999,0.6467775177188596
4-propylguaiacol,mobley_3359593,-5.26,0.02,-5.26,0.18,-21.38657155235771,0.5673330824664737
"1,1-difluoroethane",mobley_3370989,-0.11,0.02,-0.11,0.60,0.08364480143504519,0.2866491984268053
5-fluorouracil,mobley_337666,-16.92,0.06,-16.92,0.88,-11.43084666101035,1.3933203259398517
nonan-1-ol,mobley_3378420,-3.88,0.03,-3.88,0.60,-3.5493877729573335,0.5387537773398589
tetrahydropyran,mobley_3395921,-3.12,0.02,-3.12,0.60,-2.448805299008564,0.32126153127372165
iodobenzene,mobley_3398536,-1.74,0.02,-1.74,0.60,0.9356418087251228,0.33675762399014053
2-methylpentan-2-ol,mobley_3414356,-3.92,0.02,-3.92,0.60,4.387043648592713,0.3567453244975272
chloro-fluoro-methane,mobley_3425174,-0.77,0.01,-0.77,0.60,0.16931023832177994,0.22709104461070492
"1,2,3-trimethylbenzene",mobley_3452749,-1.21,0.02,-1.21,0.60,-5.2773065750541495,0.36861784134511355
1-(p-tolyl)ethanone,mobley_349850,-4.70,0.03,-4.70,0.60,-20.328488665191923,0.502781186507802
2-methoxyphenol,mobley_3515580,-5.94,0.02,-5.94,0.10,-20.87568639099665,0.5894909056908284
2-acetoxyethyl acetate,mobley_352111,-6.34,0.04,-6.34,0.60,-21.372392054357324,0.48273721821627036
pentylbenzene,mobley_3525176,-0.23,0.03,-0.23,0.60,-6.722428854883,0.37458318898310966
hexan-1-ol,mobley_3546460,-4.40,0.02,-4.40,0.60,-4.064428991616653,0.3741447417981576
pentyl propanoate,mobley_3572203,-2.11,0.03,-2.11,0.60,NA,NA
heptan-2-one,mobley_3573480,-3.04,0.02,-3.04,0.60,-6.884270165199294,0.3782390640393958
"2-chloro-1,1,1-trimethoxy-ethane",mobley_3589456,-4.59,0.04,-4.59,0.60,NA,NA
octan-1-ol,mobley_36119,-4.09,0.03,-4.09,0.60,-5.007327495860848,0.4414524575666007
1-chlorobutane,mobley_3639400,-0.16,0.02,-0.16,0.60,0.34895910750202463,0.28343871479054417
naphthalen-2-ol,mobley_3663158,-8.11,0.03,-8.11,0.60,-6.967203381967714,0.3850809076746331
cyclohexanone,mobley_3682850,-4.91,0.02,-4.91,0.60,-9.004586316500193,0.33905708085954
"1,1-diethoxyethane",mobley_3686115,-3.28,0.08,-3.28,0.20,-10.48791648834625,1.080058035335534
propyl butanoate,mobley_3690931,-2.28,0.03,-2.28,0.60,-16.1674921960019,0.3920896342686471
non-1-ene,mobley_3709920,2.06,0.03,2.06,0.60,1.9636802743944548,0.45006040018522486
"1,4-dimethylnaphthalene",mobley_3715043,-2.82,0.03,-2.82,0.60,-15.398528985535599,0.4245557056882603
quinone,mobley_3727287,-6.50,0.10,-6.50,0.20,-17.16925974269244,0.4724541559071389
1-bromo-pentane,mobley_3738859,-0.10,0.10,-0.10,0.20,1.100502667055785,0.31816641453876926
isopropenylbenzene,mobley_3746675,-1.24,0.02,-1.24,0.60,-9.307223133458375,0.47037896564097387
"1,1,1-trichloroethane",mobley_3761215,-0.19,0.02,-0.19,0.60,0.6900574583844117,0.27186150887216176
dichloromethane,mobley_3762186,-1.31,0.01,-1.31,0.60,0.12480475428082725,0.25031673850822206
1-methylpyrrole,mobley_3775790,-2.89,0.02,-2.89,0.60,6.267599879133686,0.3324773032485969
3-nitroaniline,mobley_3777264,-8.84,0.03,-8.84,0.60,-10.069363910999357,0.39420230250809346
hexyl nitrate,mobley_3802803,-1.66,0.02,-1.66,0.10,-8.701257431302164,0.3912760004002084
naphthalen-1-amine,mobley_3843583,-7.28,0.03,-7.28,0.60,NA,NA
acetone,mobley_3867265,-3.80,0.02,-3.80,0.60,-1.4589515953371905,0.31325723210685397
cyclopentanone,mobley_3968043,-4.70,0.02,-4.70,0.60,-8.903547650038364,0.33085094273638727
methyl benzoate,mobley_3968739,-3.92,0.03,-3.92,0.60,-39.23336894118116,0.6315636217448066
benzaldehyde,mobley_3969312,-4.02,0.02,-4.02,0.60,-17.59641894862238,0.392368693838951
ethyl benzoate,mobley_397645,-3.64,0.02,-3.64,0.60,-34.810180809900054,0.6242926637747742
"1,2,3,4,7-pentachlorodibenzo-p-dioxin",mobley_3976574,-4.15,0.03,-4.15,1.00,-10.488973890938762,0.41601015863682556
"1,2,3-trichlorobenzene",mobley_3980099,-1.24,0.02,-1.24,0.60,-3.3745213610016513,0.32809684535771544
methyl acetate,mobley_3982371,-3.13,0.02,-3.13,0.60,-9.907287726326219,0.3570986579438531
"1,1-dichloroethane",mobley_3999471,-0.84,0.02,-0.84,0.60,0.3027453697976456,0.2681398285843251
"2,4-dimethylpentan-3-one",mobley_4013838,-2.74,0.02,-2.74,0.60,-30.279075296689765,0.4640046062763675
o-cresol,mobley_4035953,-5.90,0.10,-5.90,0.20,-9.641964212803861,0.4168397282422069
5-bromouracil,mobley_4039055,-18.17,0.06,-18.17,0.55,NA,NA
pent-1-ene,mobley_4043951,1.68,0.02,1.68,0.60,1.5783653430386915,0.25391390854816875
