nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),incertesa calculada (kcal/mol),resultats experimentals (AMBER/GAFF) (kcal/mol),incertesa experimental (kcal/mol),metode 1 (kcal/mol),incertesa metode 1 (kcal/mol),metode 2 (kcal/mol),incertesa metode 2 (kcal/mol)
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",mobley_1896013,-20.52,0.10,-20.52,0.27,-3.9763728254596344,1.265667688791779,8.652834088818864,1.8957218094218447
2-methylpent-1-ene,mobley_1899443,1.47,0.02,1.47,0.60,2.9754448798511945,0.31331069878711826,4.81523544862773,0.3701816651698023
butan-2-ol,mobley_1903702,-4.62,0.03,-4.62,0.60,0.1237770177092381,0.329967379787044,2.2074513108133393,0.4220158669487811
methylparathion,mobley_1922649,-7.19,0.04,-7.19,0.10,-53.06581158820477,1.1645524951578676,-48.49575027798301,1.0333614654649474
n-butane,mobley_1923244,2.10,0.10,2.10,0.20,2.9934955858410066,0.2554859980088903,3.6504042669807024,0.29702450863154706
hydrogen sulfide,mobley_1929982,-0.70,0.01,-0.70,0.60,-1.5229691905334513,0.21792907577554776,-1.4600051750649314,0.19697079420912597
bromacil,mobley_194273,-9.73,0.04,-9.73,1.93,-17.913108280228215,0.7580503885623835,-46.29430126411546,2.053759277622683
[2-benzhydryloxyethyl]-dimethyl-amine,mobley_1944394,-9.34,0.03,-9.34,0.62,-35.79202838009498,1.3939135370224847,-22.938723309479485,0.8407651340216447
nitromethane,mobley_1952272,-4.02,0.01,-4.02,0.60,0.049578678756758025,0.25235095888205933,0.3399312986950663,0.29818358711836385
N-methylacetamide,mobley_1963873,-10.00,0.03,-10.00,0.60,-9.658160779436614,0.3798683313604216,-7.482111002877334,0.3780854595770733
acetaldehyde,mobley_1967551,-3.50,0.02,-3.50,0.60,-3.1241175366890492,0.3229080695987166,-2.1146692678824315,0.32656746341559995
1-cyclopropylethanone,mobley_197466,-4.61,0.02,-4.61,0.60,-20.91438271242306,0.31385690437411656,-6.07271224081985,0.4097803754303639
nonanal,mobley_1976156,-2.07,0.03,-2.07,0.60,-9.563425563307486,0.3959261875643059,-4.753283298831499,0.4907784083949615
1-chloropropane,mobley_1977493,-0.33,0.02,-0.33,0.60,-0.17112029388011318,0.27133138907775733,0.6086973257121921,0.31843030536161354
mesitylene,mobley_1987439,-0.90,0.02,-0.90,0.60,3.1574214928580178,0.32995574995151605,-1.5755126326121855,0.3860051602148634
biphenyl,mobley_2005792,-2.70,0.10,-2.70,0.20,-17.843806364236144,0.5856470885660296,-16.550511433114444,0.5701455641380235
ethane,mobley_2008055,1.83,0.01,1.83,0.60,1.4481028643905787,0.19056148020510144,2.745204175882854,0.18545066710406283
"2-chloro-2-(difluoromethoxy)-1,1,1-trifluoro-ethane",mobley_2023925,0.10,0.02,0.10,0.60,-5.3171388851914685,0.4209050517654503,15.339091220965209,0.47409425855604165
1-cyclohexylethanone,mobley_2043882,-3.90,0.02,-3.90,0.60,-15.08618963367013,0.435589652484673,-14.512149016368094,0.43617024084257006
methylsulfanylethane,mobley_2049967,-1.50,0.10,-1.50,0.20,0.8545692068347859,0.2436649707868265,1.3548488746875056,0.32646628165912417
phenol,mobley_20524,-6.60,0.10,-6.60,0.20,-3.0176976042213677,0.39967762656272354,-4.341762943002902,0.3753504374705057
propane,mobley_2068538,2.00,0.10,2.00,0.20,2.157937999299277,0.24867561084984335,3.8726785078161856,0.31683529177009645
ibuprofen,mobley_2078467,-7.00,0.07,-7.00,0.64,-18.10217513029064,2.024561920261864,-24.275403867076218,0.9850661153185539
2-iodopropane,mobley_210639,-0.46,0.02,-0.46,0.60,1.9604566220933841,0.31162950205817447,1.5181548217210923,0.3057351814354436
4-hydroxybenzonitrile,mobley_2123854,-10.17,0.03,-10.17,0.60,-9.200504449885033,0.5300391773409714,-11.037504328424873,0.4075187402738345
2-ethylphenol,mobley_2126135,-5.66,0.02,-5.66,0.10,-15.275472003090233,0.5125546874999964,-16.022926246846733,0.4366566530376175
3-methylbut-1-ene,mobley_2143011,1.83,0.02,1.83,0.60,4.689713933534017,0.3125780479549758,5.252211769206608,0.30314290219615575
formaldehyde,mobley_2146331,-2.75,0.01,-2.75,0.60,-3.244474366148307,0.25648371623803806,-1.8782914093404508,0.3277810992465335
1-chloro-pentane,mobley_2178600,-0.10,0.10,-0.10,0.20,0.7226930862965426,0.33076710271482673,2.918031785575919,0.4099536198387605
sec-butylbenzene,mobley_2183616,-0.45,0.03,-0.45,0.60,-9.692948010185976,0.38778449943519405,-9.939554468480438,0.4509586255586672
decane,mobley_2197088,3.16,0.03,3.16,0.60,2.1508279851902645,0.4531573673737278,1.3549817742243562,0.49106652673775913
chloroethane,mobley_2198613,-0.63,0.02,-0.63,0.60,1.1288357657683543,0.2822643329956316,1.6367987669434814,0.288810340393727
3-methylpentane,mobley_2213823,2.51,0.02,2.51,0.60,-0.6677350821583047,0.2549169059513456,3.467253590259433,0.3635136265685394
2-methylpropan-1-ol,mobley_2245668,-4.50,0.02,-4.50,0.60,-8.132394336471506,0.3426109716228214,-1.5843733347159863,0.401906135879925
acenaphthene,mobley_2261979,-3.15,0.03,-3.15,0.60,-14.544919293527247,0.37622122202762903,-12.114231303030845,0.4345807948193205
naproxen,mobley_2269032,-10.21,0.10,-10.21,0.18,-31.958012998153443,0.9626713825726938,-29.210138121229278,1.3730418394030754
trimethoxymethane,mobley_2279874,-4.42,0.03,-4.42,0.60,-23.29694799065102,0.38264363974328885,-16.530564384266867,0.41157455043626445
ethyl formate,mobley_2294995,-2.56,0.02,-2.56,0.60,-11.01397751493056,0.38494875938189893,-8.194198304673836,0.35810790086839506
methyl paraben,mobley_2295058,-9.51,0.05,-9.51,0.26,-39.29987182044043,0.7971733214225261,-36.60062437187195,1.2558214208189127
ethanol,mobley_2310185,-5.00,0.03,-5.00,0.60,3.186134958224626,0.3219640594242793,-2.1216682819093626,0.29794421700782336
"1-(2-hydroxyethylamino)-9,10-anthraquinone",mobley_2316618,-14.21,0.03,-14.21,1.10,-48.574700396704024,1.361755926486413,-51.469836049015214,1.4338544985677955
pentylcyclopentane,mobley_2328633,2.55,0.03,2.55,0.60,-0.46869974426624017,0.3709520076255277,3.124352033157517,0.4219630853577355
methyl pentanoate,mobley_2341732,-2.56,0.02,-2.56,0.60,-18.12830835419041,0.38831717043390857,-13.407851809434042,0.42023480968929483
butyl acetate,mobley_2364370,-2.64,0.02,-2.64,0.60,-7.649519454293571,0.3783233090416056,-9.866014318081213,0.45307786310509307
"3,4-dimethylpyridine",mobley_2371092,-5.22,0.02,-5.22,0.60,-2.9797999596704763,0.39076534525794265,-3.0455817514707464,0.4179013299687855
heptan-4-one,mobley_2390199,-2.92,0.02,-2.92,0.60,-11.933040036821325,0.39968504568514446,-10.090084461481595,0.5070868365346224
diethyl propanedioate,mobley_2402487,-6.00,0.04,-6.00,0.60,-24.639174977747587,8.94006395704782,-76.76941066597732,12.448103719789144
ethanamine,mobley_2410897,-4.50,0.02,-4.50,0.60,4.444500527611566,0.2760958247866902,0.5802700976463324,0.37183330980492413
1-methoxypropane,mobley_2422586,-1.66,0.02,-1.66,0.60,-0.6872405010162008,0.35865169828168547,4.715612706584109,0.349983984877874
benzonitrile,mobley_2451097,-4.10,0.02,-4.10,0.60,-9.640752385632556,0.39979046041861177,-7.5637852538266745,0.45008422004273285
3-methoxyphenol,mobley_2457863,-7.66,0.03,-7.66,0.60,0.261187623284993,0.4961646208006925,-11.4823666657269,0.5750000436216427
trichloro(nitro)methane,mobley_2481002,-1.45,0.02,-1.45,0.10,-1.3031538720915827,0.2838608670338877,0.5131944334688674,0.2995865974356259
benzyl chloride,mobley_2484519,-1.93,0.08,-1.93,0.20,-4.172231289014314,0.3610090497868329,-4.156486984136093,0.4716061204573939
hexan-2-one,mobley_2487143,-3.28,0.02,-3.28,0.60,-5.86660295067554,0.3891249808127439,-3.9573123364242653,0.4345637405248847
"1,2-dichlorobenzene",mobley_2489709,-1.36,0.02,-1.36,0.60,-5.022878083463027,0.26749051300341276,-2.047986970772937,0.31198050765510604
"1,1,1,2,2-pentachloroethane",mobley_2492140,-1.23,0.02,-1.23,0.10,0.681319426964393,0.3192246996079898,1.0159309770591094,0.3598966599420271
"1,1-dichloroethylene",mobley_2493732,0.25,0.02,0.25,0.60,1.1561864856806399,0.27523007246225845,3.117681948022698,0.2297373420853459
1-bromoheptane,mobley_2517158,0.34,0.03,0.34,0.60,0.8192689714171655,0.36746259929278186,2.233810828591631,0.39860693361939464
5-Amino-4-chloro-2-phenylpyridazin-3(2H)-one,mobley_2523689,-16.43,0.04,-16.43,1.93,-27.04825338269587,1.3337585807696202,-40.301204390340764,0.653896782586202
"2,2-dimethylpentane",mobley_252413,2.88,0.02,2.88,0.60,3.106401500942394,0.32135254027549387,2.3342464112365366,0.35487571110520344
pyrene,mobley_2577969,-4.52,0.03,-4.52,0.60,-24.94423911516683,0.5458398985732692,-19.05274575297476,0.534703643029821
hexyl acetate,mobley_2607611,-2.26,0.03,-2.26,0.60,-10.645713914685395,0.377600765364884,-9.467035217255045,0.470566179917143
"3,3-dimethylpentane",mobley_2609604,2.56,0.03,2.56,0.60,-3.3413267752684077,0.31521089369604677,1.6092711479330928,0.35296377350682434
"1,2-dimethoxybenzene",mobley_2613240,-5.33,0.02,-5.33,0.10,-14.831939535137291,0.3726579717462672,-2.961853432428974,0.4254692740954871
3-nitrooxypropyl nitrate,mobley_2636578,-4.80,0.02,-4.80,0.39,-20.024000904345186,0.4134996553071879,-16.857731354255744,0.42662798266399937
"N,N-4-trimethylbenzamide",mobley_2659552,-9.76,0.05,-9.76,0.20,-46.24321018175719,0.5062358174206147,-29.53884186518695,0.5444358051174412
3-hydroxybenzonitrile,mobley_2661134,-9.65,0.03,-9.65,0.60,-4.909840758998796,0.6277980661946116,-1.048321741535637,0.5235640718937534
"1,3,5-trichlorobenzene",mobley_2681549,-0.78,0.02,-0.78,0.60,3.1005686259346303,0.33473654782810225,-1.232172468122708,0.4151284578608428
cyclohexane,mobley_2689721,1.23,0.02,1.23,0.60,-1.028376899119804,0.25086371517539013,1.6420046024040889,0.34218201994115466
2-isobutylpyrazine,mobley_2693089,-5.04,0.03,-5.04,0.60,-7.619461388947188,0.4271151084302963,-6.580171686490763,0.4467441907196525
nitralin,mobley_2725215,-7.98,0.05,-7.98,1.93,-154.78728025362165,0.8527127485282523,-139.9347600471451,3.8337560362192193
1-pyrrolidin-1-ylethanone,mobley_2725802,-9.80,0.02,-9.80,0.60,-11.994196631907293,0.4291401192577201,-14.743970404955522,0.42212659210035963
5-iodouracil,mobley_2727678,-18.72,0.06,-18.72,0.64,9.292738041708049,0.674668983444491,-14.263713356403091,1.2395185194723946
4-nitrophenol,mobley_2751110,-10.64,0.02,-10.64,0.60,-14.640501376767112,0.47473697919379376,-18.654028479019345,0.6212330360601394
ethoxybenzene,mobley_2763835,-2.22,0.02,-2.22,0.60,-7.76526457901328,0.3474948730175844,-8.81453854866079,0.4549224128273115
1-methylpiperazine,mobley_2771569,-7.77,0.03,-7.77,0.60,-19.455837953851024,0.3653958719632098,-4.50196910173721,0.42744131689383313
phthalimide,mobley_2782339,-9.61,0.05,-9.61,0.50,-30.298119410729647,0.8180581898558675,-43.90464330407203,0.5367322280495216
cyclopropane,mobley_2784376,0.75,0.02,0.75,0.60,1.8303879852366265,0.20753040556377575,2.4879840303636143,0.23160534315335335
3-chloropyridine,mobley_2789243,-4.01,0.02,-4.01,0.60,-11.925645458541632,0.3359513283219595,-1.9093276909283725,0.4194177620498083
(2E)-hex-2-enal,mobley_2792521,-3.68,0.02,-3.68,0.60,-4.2895728077671,0.3562611012423409,-2.913410237057584,0.37556803409377865
1-bromobutane,mobley_2802855,-0.40,0.02,-0.40,0.60,2.768509475647157,0.27553348589044613,3.7419210897996935,0.33583062523829355
naphthalene,mobley_282648,-2.40,0.02,-2.40,0.60,-10.404496267660722,0.4036970964210669,-10.00682017583639,0.4547351974663333
pyrrole,mobley_2837389,-4.78,0.02,-4.78,0.60,8.69172733608904,0.4040455580052166,0.6863623752683385,0.33740835158168836
"1,2,3,7-tetrachlorodibenzo-p-dioxin",mobley_2844990,-3.84,0.03,-3.84,1.00,-13.928510384403292,0.4111099620660933,-3.6961588025818912,0.5571936290037144
"2,3,7,8-tetrachlorodibenzo-p-dioxin",mobley_2845466,-3.37,0.03,-3.37,1.00,-10.958857793940751,0.4982363450978003,-0.46578073441370105,0.5457083801537568
2-hydroxybenzaldehyde,mobley_2850833,-4.68,0.02,-4.68,0.10,-1.2366620190629973,0.7215215172598745,-24.339003711257295,0.47541888837785556
styrene,mobley_2859600,-1.24,0.02,-1.24,0.60,-9.032352255403499,0.3617337344065534,-5.211198351471749,0.4299644153590681
pentan-2-ol,mobley_2864987,-4.39,0.02,-4.39,0.60,1.106613191185939,0.3968518401866106,-1.1791484942991532,0.4308552098680729
isobutyl nitrate,mobley_2881590,-1.88,0.03,-1.88,0.10,-7.668659990378624,0.33198840049351247,-2.898366042383461,0.4190633600055185
acetylsalicylic acid,mobley_2913224,-9.94,0.07,-9.94,0.18,-101.81960930041222,0.90064044353646,-76.81995016297314,20.382963689343242
4-ethylphenol,mobley_2923700,-6.13,0.03,-6.13,0.60,-1.1729301850676919,0.44254794623191174,-5.883788508280697,0.44157039087782596
p-cresol,mobley_2925352,-6.13,0.02,-6.13,0.60,-0.2734295477527042,0.37847791337803155,-0.049873911454989095,0.4678473246509208
3-methylbutanoic acid,mobley_2929847,-6.09,0.03,-6.09,0.60,-5.947744776129623,0.3923696644848286,-12.366614537687731,0.4938193693107916
N-propylpropan-1-amine,mobley_2958326,-3.65,0.02,-3.65,0.60,-2.918008557215775,0.33831024790076797,3.2544873374161094,0.4348496275343247
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",mobley_2960202,-3.71,0.03,-3.71,1.00,-12.364254046065039,0.4171462490785578,-1.6516505380634534,0.4633449292198534
pyridine,mobley_296847,-4.69,0.02,-4.69,0.60,-4.115934091545377,0.37439899454806524,-4.298254539978373,0.4345066698415125
thiophene,mobley_2972906,-1.40,0.10,-1.40,0.20,5.66343394825196,0.24836944626206292,2.0875752992369283,0.31096023115982663
2-methylprop-1-ene,mobley_299266,1.16,0.02,1.16,0.60,7.07446485669246,0.23608112075004797,5.332435867298711,0.2800283366129132
chloroform,mobley_2996632,-1.08,0.02,-1.08,0.60,0.8879128188339989,0.25016269513024514,1.712040501515774,0.2966075419161567
"2,2,2-trifluoroethanol",mobley_3006808,-4.31,0.03,-4.31,0.60,-22.636451924204522,0.7519046819906323,-3.777176793299839,0.6818903951148818
prop-1-ene,mobley_303222,1.32,0.02,1.32,0.60,4.137106375895607,0.22772600231280038,3.9013487334983536,0.289861536532667
acetic acid,mobley_3034976,-6.69,0.02,-6.69,0.60,1.7862560239517808,0.3334516732838804,-3.0990041467719225,0.40411152745699785
benzene,mobley_3053621,-0.90,0.10,-0.90,0.20,-2.368752297238918,0.3079014431883261,-1.2343717307810924,0.33451452327453307
"2,2,5-trimethylhexane",mobley_3060426,2.93,0.03,2.93,0.60,0.5697604222120347,0.3249298581381931,-2.222426666280053,0.3699071215317906
dimethoxymethane,mobley_3083321,-2.93,0.10,-2.93,0.20,-8.601244782162889,0.33367526521986884,-6.070291894327214,0.3393025186692958
terbacil,mobley_3105103,-11.14,0.04,-11.14,1.93,45.33862234255112,2.4131493400988537,-90.1711377737561,0.6936842283110088
propan-1-ol,mobley_313406,-4.85,0.02,-4.85,0.60,-1.0471491780739983,0.30039376868746215,0.1368744851570467,0.3305164075885481
"2,5-dimethylphenol",mobley_3144334,-5.91,0.03,-5.91,0.60,-6.5831944555239525,0.4378452688873046,-6.525270491422702,0.44172002792481807
decan-1-ol,mobley_3151666,-3.64,0.03,-3.64,0.60,-4.847838068054807,0.4860681153386732,4.1159321158727025,0.6099335402343199
octane,mobley_3167746,2.88,0.03,2.88,0.60,2.7126238045503834,0.37327174960175763,3.617925750453385,0.47735401289769724
"1,2-dinitroxypropane",mobley_3210206,-4.95,0.03,-4.95,0.10,-14.830067254635395,0.42453085416698283,-2.888676816524173,0.4787948472197726
cyclohexene,mobley_3211679,0.14,0.02,0.14,0.10,-0.11663922560191775,0.27215701232005757,1.513438358471324,0.31145970924508737
p-xylene,mobley_3234716,-0.80,0.02,-0.80,0.60,-0.827242248738072,0.28548576408101334,0.041437481967386613,0.3555635946534373
glycerol,mobley_3259411,-13.43,0.06,-13.43,1.00,-74.38915156509282,0.6404802100460396,4.020060791213808,1.107187545622668
2-chlorosyringaldehyde,mobley_3265457,-7.78,0.03,-7.78,0.77,-34.857545793460005,0.5610527844819592,-7.115610521385143,0.6082603517319919
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",mobley_3266352,-1.92,0.03,-1.92,0.60,-2.867183484543098,0.4577902928874331,4.471679669900755,0.4958124706427564
2-methoxypropane,mobley_3269565,-2.01,0.02,-2.01,0.60,-0.1416782427462473,0.265687252873143,0.7088671762953029,0.32660352451355906
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",mobley_3269819,-3.17,0.04,-3.17,0.10,-10.609294489155262,0.4136711536671173,-9.26762721353913,0.45954122988594154
"2-[(1R)-1-methylpropyl]-4,6-dinitro-phenolate",mobley_3274817,-6.23,0.04,-6.23,1.93,-51.799059635525765,0.6857576893941695,-41.638533577076274,0.952198355300641
nonan-5-one,mobley_3318135,-2.64,0.03,-2.64,0.60,-13.21079695262783,0.3858705537894814,-5.633591091356369,0.571094380061761
sulfolane,mobley_3323117,-8.61,0.05,-8.61,0.31,-22.101899314687426,0.37529930155657043,-8.212235189179703,0.41105927782709634
trimethoxymethylbenzene,mobley_3325209,-4.04,0.04,-4.04,0.60,-56.21131074220337,0.9645487613954318,-34.60345349785591,1.2566789953999666
4-propylguaiacol,mobley_3359593,-5.26,0.02,-5.26,0.18,-21.91681753313837,0.5284362613836838,-8.892122583032991,0.5171509252870463
