nom iupac molec,identificador,resultats a partir de bibliografia (kcal/mol),resultats experimentals (kcal/mol)
"2,3-diacetoxypropyl acetate",mobley_6198745,-8.84,-8.84
propyl paraben,mobley_6201330,-9.37,-9.37
pyridine-3-carbaldehyde,mobley_6232400,-7.10,-7.10
2-chlorobutane,mobley_6235784,0.00,0.00
cyanuric acid,mobley_6239320,-18.06,-18.06
octan-1-amine,mobley_6248915,-3.65,-3.65
1-iodohexane,mobley_6250025,0.08,0.08
3-chloroaniline,mobley_6257907,-5.82,-5.82
azetidine,mobley_6266306,-5.56,-5.56
1-bromo-2-methyl-propane,mobley_627267,-0.03,-0.03
"1,1,1-trifluoropropan-2-ol",mobley_628086,-4.16,-4.16
"1,3-dichloro-2-(2,6-dichlorophenyl)benzene",mobley_628951,-2.28,-2.28
4-ethylpyridine,mobley_6303022,-4.73,-4.73
piperidine,mobley_6309289,-5.11,-5.11
1-(4-methoxyphenyl)ethanone,mobley_632905,-4.40,-4.40
"(1R)-2,2,2-trichloro-1-dimethoxyphosphoryl-ethanol",mobley_6334915,-12.74,-12.74
terbutryn,mobley_6338073,-6.68,-6.68
1-(3-pyridyl)ethanone,mobley_6353617,-8.26,-8.26
"1,2-bis(trifluoromethyl)benzene",mobley_6358463,1.07,1.07
carbon tetrachloride,mobley_6359135,0.08,0.08
"1,4-dichloro-2-phenyl-benzene",mobley_6359156,-2.46,-2.46
1-methylpiperidine,mobley_63712,-3.88,-3.88
anthracene,mobley_637522,-3.95,-3.95
propylcyclopentane,mobley_6416775,2.13,2.13
propylbenzene,mobley_6430250,-0.53,-0.53
isobutyl 2-methylpropanoate,mobley_6456034,-1.69,-1.69
pyrrolidine,mobley_646007,-5.48,-5.48
chloroethylene,mobley_6474572,-0.59,-0.59
but-2-enal,mobley_6497672,-4.22,-4.22
"2-chloro-1-(2,4-dichlorophenyl)ethenyl diethyl phosphate",mobley_6522117,-7.07,-7.07
1-methylcyclohexene,mobley_6571751,0.67,0.67
ethyl pentanoate,mobley_6619554,-2.49,-2.49
carbofuran,mobley_6620221,-9.61,-9.61
propanal,mobley_6632459,-3.43,-3.43
diiodomethane,mobley_664966,-2.49,-2.49
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",mobley_667278,-4.40,-4.40
"3,5-dichloro-2,6-dimethoxyphenol",mobley_6688723,-6.44,-6.44
methanamine,mobley_6714389,-4.55,-4.55
2-(nitrooxy)ethan-1-ol,mobley_6727159,-8.18,-8.18
chlordane,mobley_6733657,-3.44,-3.44
"1,4-dioxane",mobley_6739648,-5.06,-5.06
"3,4-dimethylphenol",mobley_6743808,-6.50,-6.50
tetrafluoromethane,mobley_676247,3.12,3.12
1-(4-pyridyl)ethanone,mobley_6794076,-7.62,-7.62
"1,2,4,5-tetrachlorobenzene",mobley_6804509,-1.34,-1.34
hexane,mobley_6812653,2.48,2.48
"1,2,2-trifluoroethoxybenzene",mobley_6843802,-1.29,-1.29
isopropyl formate,mobley_6854178,-2.02,-2.02
fenuron,mobley_6861308,-9.13,-9.13
3-methylheptane,mobley_6896128,2.97,2.97
methoxyethane,mobley_6911232,-2.10,-2.10
2-methoxyethanamine,mobley_6917738,-6.55,-6.55
methyl 2-chloroacetate,mobley_6929123,-4.00,-4.00
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",mobley_6935906,-2.49,-2.49
ethyl acetate,mobley_6973347,-2.94,-2.94
methyl cyclohexanecarboxylate,mobley_6978427,-3.30,-3.30
isopropyl acetate,mobley_6981465,-2.64,-2.64
2-ethylpyridine,mobley_6988468,-4.33,-4.33
"3,5-dimethylphenol",mobley_7009711,-6.27,-6.27
cyclohexanol,mobley_7010316,-5.46,-5.46
methoxymethane,mobley_7015518,-1.91,-1.91
phenanthrene,mobley_7017274,-3.88,-3.88
naphthalen-1-ol,mobley_7039935,-7.67,-7.67
2-chloro-2-methyl-propane,mobley_7047032,1.09,1.09
4-chlorophenol,mobley_7066554,-7.03,-7.03
3-chloroprop-1-ene,mobley_7099614,-0.57,-0.57
isohexane,mobley_7106722,2.51,2.51
pentan-1-amine,mobley_7142697,-4.09,-4.09
"1,4-dibromobenzene",mobley_7150646,-2.30,-2.30
1-chloroheptane,mobley_7157427,0.29,0.29
trifluralin,mobley_7176248,-3.25,-3.25
3-nitrophenol,mobley_7176290,-9.62,-9.62
heptan-1-amine,mobley_718988,-3.79,-3.79
2-fluorophenol,mobley_7200804,-5.29,-5.29
hexanamide,mobley_7203421,-9.31,-9.31
